Time,SP
0.0,0.0
3.1578947368421053,7718.354426036135
6.315789473684211,18048.631631305685
9.473684210526315,28198.64690861427
12.631578947368421,36821.834497191514
15.789473684210527,43354.34677099718
18.94736842105263,49645.54014340241
22.105263157894736,53427.18462988184
25.263157894736842,57080.688069286276
28.42105263157895,60863.87455389254
31.578947368421055,59792.79554224403
34.73684210526316,64809.153254542165
37.89473684210526,64250.266658219785
41.05263157894737,69462.445842444
44.21052631578947,64134.97035378881
47.36842105263158,68194.62794621724
50.526315789473685,69766.7625401989
53.68421052631579,67032.96201263124
56.8421052631579,67549.05987849011
60.0,70325.06178489873
